"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2024-04-29T19:56:11+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","BOM7","1","407-3077904-2561908","INR","616.55","0.00","0.00","MUMBAI","MAHARASHTRA","400063"
"2024-04-29T19:52:11+05:30","2L-SVTF-KMWT","X001YWBYSD","163651118X","DEL4","1","405-9462331-3837148","INR","399.00","0.00","0.00","BENGALURU","KARNATAKA","560037"
"2024-04-29T19:52:05+05:30","2L-SVTF-KMWT","X001YWBYSD","163651118X","DEL4","1","403-0142298-8056367","INR","399.00","0.00","0.00","BENGALURU","KARNATAKA","560103"
"2024-04-29T18:33:15+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","AMD2","1","408-2989307-1838767","INR","1999.00","40.00","0.00","AHMEDABAD","GUJARAT","380054"
"2024-04-29T18:01:58+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","HYD8","1","404-8260519-4651543","INR","1999.00","0.00","0.00","VIJAYAWADA","ANDHRA PRADESH","520010"
"2024-04-29T17:42:17+05:30","0O-82XT-PSML","X000Q2V1GR","1946383066","BLR7","1","404-7535489-1576308","INR","379.05","0.00","0.00","Bangalore","Karnataka","560037"
"2024-04-29T17:40:37+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","BOM5","1","403-4017128-1609938","INR","474.05","0.00","0.00","BENGALURU","KARNATAKA","560035"
"2024-04-29T16:25:13+05:30","MG-XOI5-NSRF","X001Y99HD5","1636512186","CJB1","1","406-5317543-5679542","INR","399.00","0.00","0.00","COIMBATORE","TAMIL NADU","641007"
"2024-04-29T15:45:04+05:30","2L-NK1C-2ETR","X001VJI1OJ","B0CGLH8X1C","TQBF","1","405-8666003-7298748","INR","399.00","0.00","0.00","BHUBANESWAR","ODISHA","751020"
"2024-04-29T15:40:04+05:30","CW-JKAK-N2VV","X001PKZXBN","1636511511","TQBF","1","407-8995878-4987525","INR","399.00","0.00","0.00","Bangalore","KARNATAKA","560035"
"2024-04-29T15:40:03+05:30","F2-PSHW-51ZG","X0017F13Q5","1949395901","TQBF","1","171-3882744-2749921","INR","399.00","40.00","0.00","GURUGRAM","HARYANA","122002"
"2024-04-29T15:40:03+05:30","P7-XX01-FGUB","X000URE0WZ","1946383139","TQBF","1","404-9855798-9818752","INR","399.00","40.00","0.00","Ta-Lakhani dis- bhandara","MAHARASHTRA","441804"
"2024-04-29T15:40:03+05:30","L3-RHNH-9WSP","X001SFOJ5L","B0C6LQ8X9W","TQBF","1","407-2060013-6227542","INR","1269.00","40.00","0.00","KOLKATA","WEST BENGAL","700075"
"2024-04-29T15:40:03+05:30","L3-RHNH-9WSP","X001SFOJ5L","B0C6LQ8X9W","TQBF","1","408-9571517-7766765","INR","1269.00","40.00","0.00","BIDHAN NAGAR","WEST BENGAL","700106"
"2024-04-29T15:40:03+05:30","36-NMTD-PWCO","X001VI1ZLV","B0CGWZZJ7M","TQBF","1","405-5868752-5502705","INR","599.00","0.00","0.00","LUCKNOW","UTTAR PRADESH","226025"
"2024-04-29T15:40:03+05:30","QJ-VHWP-DIHJ","X001VHDSOT","B0CGWX1NM3","TQBF","1","405-5868752-5502705","INR","599.00","0.00","0.00","LUCKNOW","UTTAR PRADESH","226025"
"2024-04-29T15:40:03+05:30","KC-PA75-47UJ","X001YTKDRT","B0CW2YX12T","TQBF","1","408-0107378-2393900","INR","879.00","40.00","0.00","Muzaffarnagar","UTTAR PRADESH","251316"
"2024-04-29T14:07:10+05:30","COMBO-TPS-4","X001E1U4XP","1636510426","HYD8","1","408-6672793-0568348","INR","3371.55","40.00","0.00","Parasia district chhindwara","MADHYA PRADESH","480441"
"2024-04-29T13:37:11+05:30","15-KVM1-4SWU","X00176YALT","1949395774","LKO1","1","405-9053708-0461935","INR","474.05","0.00","0.00","Greater Noida West","UTTAR PRADESH","201301"
"2024-04-29T12:55:12+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","LKO1","1","171-6405413-3197137","INR","616.55","40.00","0.00","KOLKATA","WEST BENGAL","700031"
"2024-04-29T12:50:11+05:30","W7-X4TX-4WMK","X001FQF25T","1636510485","BOM5","1","171-6337451-4588356","INR","1469.00","0.00","0.00","MUMBAI","MAHARASHTRA","400050"
"2024-04-29T12:02:16+05:30","COMBO-TPS-4","X001E1U4XP","1636510426","BLR8","1","406-3325084-3814741","INR","3371.55","40.00","0.00","BENGALURU","KARNATAKA","560107"
"2024-04-29T11:17:50+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","BOM5","1","408-5474625-2918717","INR","616.55","0.00","0.00","Mumbai","Maharashtra","400053"
"2024-04-29T11:17:50+05:30","1T-VT5B-1S8D","X001QW0E1T","1636511597","BOM5","1","408-5474625-2918717","INR","616.55","0.00","0.00","Mumbai","Maharashtra","400053"
"2024-04-29T10:42:17+05:30","76-T7QB-EMML","X001FQF26D","1636510477","BOM5","1","403-5666196-4933132","INR","1179.00","40.00","0.00","PIMPRI CHINCHWAD","MAHARASHTRA","412101"
"2024-04-29T10:40:15+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","CJB1","1","406-8750243-4342715","INR","474.05","40.00","0.00","NILAKKOTTAI","TAMIL NADU","624208"
"2024-04-29T10:40:10+05:30","3O-7GIY-GAIA","X0017F0ZZ5","1949395839","CJB1","1","406-4507819-7410735","INR","474.05","40.00","0.00","NILAKKOTTAI","TAMIL NADU","624208"
"2024-04-29T10:36:27+05:30","15-KVM1-4SWU","X00176YALT","1949395774","BOM7","1","408-8544416-1072338","INR","474.05","0.00","0.00","MUMBAI","MAHARASHTRA","400080"
"2024-04-29T10:36:27+05:30","1M-WO07-G93U","X0017PANTN","B08DXQXXY7","BOM7","1","408-8544416-1072338","INR","474.05","0.00","0.00","MUMBAI","MAHARASHTRA","400080"
"2024-04-29T09:22:14+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","AMD2","1","408-7727423-9037146","INR","1999.00","40.00","0.00","Jaipur","RAJASTHAN","302017"
"2024-04-29T09:02:14+05:30","Y4-CFOJ-6R6M","X001VYPXZT","B0CKB3Y92F","AMD2","1","407-9887651-1592354","INR","399.00","40.00","0.00","KOLKATA","WEST BENGAL","700065"
"2024-04-29T04:16:14+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","LKO1","1","403-0750430-6202714","INR","616.55","0.00","0.00","NEW TOWN","WEST BENGAL","700135"
"2024-04-29T03:56:11+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","DEL4","1","406-1486747-3144321","INR","1999.00","0.00","0.00","KASHIPUR","UTTARAKHAND","244713"
"2024-04-29T00:46:34+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","HYD8","1","405-8302654-0068354","INR","1999.00","0.00","0.00","Hyderabad","TELANGANA","502032"
"2024-04-29T00:41:12+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","BLR8","1","407-3797387-4393158","INR","1999.00","0.00","0.00","BENGALURU","KARNATAKA","560037"
"2024-04-28T23:03:13+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","BLR8","1","408-1391101-2825968","INR","616.55","0.00","0.00","HYDERABAD","TELANGANA","500090"
"2024-04-28T22:01:54+05:30","D8-RLCZ-ZOUR","X001QVXAQV","1636511589","BLR8","1","407-2082635-8656321","INR","616.55","99.00","0.00","BENGALURU","KARNATAKA","560095"
"2024-04-28T21:35:12+05:30","1K-FDUR-VSJX","X0013JH1VB","1949395243","PNQ3","1","405-4099500-9029166","INR","474.05","0.00","0.00","Aurangabad","MAHARASHTRA","431006"
"2024-04-28T20:37:39+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR7","1","405-2383577-7950761","INR","474.05","40.00","0.00","TIRUNELVELI","TAMIL NADU","627005"
"2024-04-28T20:30:17+05:30","G7-R74R-AAZF","X001M9FZ97","163651121X","CJB1","1","171-4318811-0220359","INR","399.00","0.00","0.00","COIMBATORE","TAMIL NADU","641007"
"2024-04-28T19:06:24+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","405-9715524-8559551","INR","474.05","0.00","0.00","NEW TOWN","WEST BENGAL","700156"
"2024-04-28T18:56:20+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","BLR8","1","402-7136040-6672315","INR","474.05","40.00","0.00","BENGALURU","KARNATAKA","560064"
"2024-04-28T18:34:15+05:30","CO-QCPV-SEI3","X001CLRRT1","1636510310","PNQ3","1","171-0365865-9268352","INR","474.05","40.00","0.00","CHAKAN","MAHARASHTRA","410501"
"2024-04-28T18:17:18+05:30","HL-3VCQ-ER17","X001QZEDBD","1636511694","BLR8","1","406-1116661-2541966","INR","1999.00","0.00","0.00","BENGALURU","KARNATAKA","560067"
