Pincode,Latitude,Longitude
390010,22.2610126,73.1889321
394107,21.2429454,72.8494911
390012,22.2833654,73.1607738
603004,12.7315771,79.9991052
607105,11.7748561,79.671366
390019,22.3027393,73.2320127
410501,18.7607007,73.8537376
410503,19.0018329,73.942821
394120,21.4483684,72.9461693
390023,22.3214478,73.1578023
312202,24.8742258,74.2960674
394130,21.3198201,72.8706176
431001,19.8599957,75.3222414
623515,47.0473933,29.3863606
431003,19.8516791,75.3935519
623517,9.2374642,78.7805498
431005,19.8628926,75.3290554
431006,19.8750562,75.3794449
181152,47.0473933,29.3863606
742301,23.8851369,88.0999647
521121,16.0247925,80.9154428
246701,29.3745054,78.1368008
521137,16.4806129,80.7070931
136118,29.9633238,76.8825196
562106,12.7145005,77.6869632
562107,12.7780696,77.7418496
562111,13.2229395,77.2228892
562114,13.0742015,77.8460846
562123,13.1132343,77.3831413
689101,9.3926264,76.5697837
177101,31.8819861,76.2127669
562125,12.8718212,77.7837836
562130,12.9418134,77.3714839
689108,9.3829143,76.5456632
562132,13.2150525,77.3191458
521175,16.8579703,80.1432913
177111,47.0473933,29.3863606
521180,16.6859725,80.3667783
603102,12.5253538,80.131944
603103,12.8152004,80.2190615
812001,25.2938842,86.9345733
263139,29.2095802,79.52996
562149,13.1241958,77.6858954
562157,13.1694869,77.6076487
263153,28.9850514,79.3949365
562162,13.0593453,77.4311252
521211,16.7058121,80.7681415
132103,29.3895184,76.9690892
517129,13.2827097,78.9555833
140301,30.7544767,76.6552779
140306,30.6483329,76.7265459
140307,30.7016182,76.6525513
140308,30.674148,76.709032
783380,26.4647956,90.5611725
144411,31.253553,75.6950666
144416,31.0886411,75.8803611
132140,47.0473933,29.3863606
132145,29.310743,76.9051719
431154,47.0473933,29.3863606
177203,31.6852327,76.1175499
382007,23.2008037,72.6421833
603202,12.8430261,80.0549733
603203,12.8152745,80.0389169
603210,12.8727595,80.0823574
394325,21.2059,72.97458
394326,21.2361556,72.9541921
382041,23.25575,72.670634
734301,27.0631584,88.4763236
226401,26.7104729,80.804947
636004,11.6804057,78.1371075
636007,11.6687432,78.1543684
636008,11.7019058,78.1768678
251001,29.4740196,77.6965998
144514,31.1228186,76.1225327
505001,18.4377722,79.1329492
732124,24.9957943,88.2209792
480441,22.2018129,78.8245932
632001,12.9086146,79.1542917
632004,12.9270587,79.2359357
632006,12.9530522,79.1389541
632009,12.9352,79.151531
636105,11.5019547,78.644474
484555,23.3358586,80.9460338
124108,28.4763773,76.6569884
144601,31.374543,75.37426
673001,11.250885,75.7810422
673010,11.3027356,75.7918226
673014,11.243657,75.8308717
632055,12.8722592,79.0924978
800004,25.6359433,85.1248557
382213,22.9670514,72.469296
722183,23.539151,87.1392162
800008,25.6326657,85.1754842
800009,47.0473933,29.3863606
800010,25.6355579,85.1101545
382220,22.858778,72.343321
394510,21.1902074,72.7274135
800014,25.6081399,85.0830062
202001,27.8918254,78.0813421
800020,25.5931844,85.1587539
800025,25.6156007,85.0823141
415002,17.6785911,73.9976265
800027,25.5801458,85.154505
415004,17.6525172,74.0344791
800026,25.5939502,85.1741028
122001,28.4687357,77.0377879
517408,13.2101992,78.7376559
431401,19.2608121,76.7759943
122002,28.4656314,77.0888758
755001,20.8499469,86.3313421
243001,28.3601418,79.4222907
140603,30.6481206,76.818739
122003,28.4326064,77.0750651
673121,11.6210008,76.0705623
796007,23.7684861,92.7261447
394601,21.1257688,73.1091043
796009,23.7436683,92.6930116
497001,23.1083148,83.1622343
796014,23.8030792,92.7412015
411001,18.5325647,73.8773562
411002,18.5116027,73.8594056
411004,18.5162444,73.8358591
411005,18.4842938,73.8974082
411006,18.5910488,73.9912389
411007,18.5598211,73.8091853
517501,13.6334467,79.419926
624001,10.3547001,77.9850774
411009,18.4948572,73.8502049
517502,13.6254575,79.400295
382340,23.0705235,72.6361459
411013,18.5125028,73.9196736
411014,18.5583908,73.9215612
591238,16.3909254,74.4377385
411016,18.5331611,73.8312616
624005,10.3632917,78.001138
411015,18.591048,73.891296
591243,16.0811032,74.5449253
411019,18.6449219,73.8002203
411021,18.5305772,73.7760063
382350,23.0461945,72.6552772
411023,18.5726487,73.9634036
411027,18.6038361,73.7650017
411028,18.5033249,73.9350385
411030,18.5090565,73.8480766
411033,18.6227382,73.7715723
411034,18.6104782,73.8194398
751002,20.23176,85.8362913
411036,18.5301238,73.933741
411037,18.5252407,73.8969852
411038,18.5074717,73.8071187
411039,18.6539543,73.8815613
751003,20.2799409,85.7835914
